,WDR37,OGFR,ATP1B3,CNOT4,OVGP1,NFAT5,NEFM,ICAM5,ELL,CLDN15,ATP5F1B,FGFR1OP2,ITGB6,SLC8A2,PLAGL1,INHBA,TUBA1B,DHX38,GATA6,XRCC4,UBXN7,ATP5MG,ZNF212,BSG,IDH2,CBX6,GM2A,condition
GSM6765254,12.38181513,23.63801069,290.4098457,18.00991291,5.628097784,22.51239114,0,1.125619557,21.38677158,4.502478227,1312.472403,18.00991291,31.51734759,0,9.004956455,6.753717341,256.641259,42.77354316,0,16.88429335,32.64296715,159.8379771,20.26115202,274.6511719,52.90411917,4.502478227,360.1982582,0
GSM6765268,11.32926974,21.52561251,305.8902831,15.86097764,3.398780923,21.52561251,1.132926974,0,21.52561251,4.531707898,1314.19529,18.12683159,30.58902831,0,9.063415796,6.797561847,260.5732041,45.31707898,0,15.86097764,32.85488226,147.2805067,16.99390462,277.5671087,61.17805662,4.531707898,381.7963904,0
GSM6765349,31.1495428,72.68226654,124.5981712,36.34113327,31.89119858,76.39054545,17.05808296,15.5747714,57.84915092,25.95795234,238.8131615,31.89119858,2.966623124,5.191590467,20.02470609,31.1495428,117.1816134,101.606842,5.191590467,35.59947749,72.68226654,48.20762577,52.65756045,100.1235304,5.191590467,36.34113327,20.02470609,1
GSM6765294,77.40704052,64.13726215,105.0524121,68.56052161,179.1420081,176.9303783,286.4060499,9.952333782,180.2478229,131.5919689,371.5537945,47.55003918,0,32.06863107,30.96281621,27.64537162,81.83029998,363.8130905,1.105814865,95.10007836,215.6338986,45.33840945,117.2163757,84.04192971,6.634889188,60.81981755,34.2802608,0
GSM6765307,74.88407499,57.26429264,85.89643896,72.6816022,224.652225,181.7040055,307.2449547,5.506181985,148.6669136,124.4397129,377.7240841,44.04945588,3.303709191,24.22720073,29.73338272,36.3408011,85.89643896,350.1931742,2.202472794,79.28902058,211.4373882,40.74574669,105.7186941,85.89643896,3.303709191,67.17542021,47.35316507,0
GSM6765321,78.41678523,58.53647349,98.29709698,68.47662936,189.9674234,195.4897322,339.0697615,8.835694111,142.4755675,134.7443352,304.8314468,51.9097029,1.104461764,24.29815881,28.71600586,41.96954703,80.62570876,367.7857674,6.626770583,87.25247935,209.8477351,47.49185585,93.87924993,77.31232347,2.208923528,54.11862643,48.59631761,0
GSM6765335,30.51024634,61.02049267,139.1564894,38.69592218,34.97516043,80.36845376,20.83626579,5.953218797,49.11405508,19.34796109,221.7574002,35.71931278,1.488304699,7.441523497,25.30117989,32.74270338,118.3202236,99.71641485,6.697371147,37.20761748,78.13599671,46.88159803,40.92837923,89.29828196,2.232457049,37.20761748,27.53363694,1
GSM6765281,13.36458061,25.61544617,298.4756336,15.59201071,4.454860203,20.04687091,0,0,20.04687091,6.682290305,1310.842615,14.47829566,33.41145152,0,8.909720406,5.568575254,246.1310262,44.54860203,0,14.47829566,35.63888162,139.2143813,18.93315586,298.4756336,56.79946759,5.568575254,373.094542,0
GSM6765379,70.44886912,57.17589378,116.3937838,53.09190137,173.5696775,217.472596,679.9847367,7.146986722,133.7507515,93.9318255,467.6171313,46.96591275,8.167984826,19.39896396,22.46195827,28.58794689,93.9318255,256.2705239,5.104990516,63.3018824,179.6956662,60.23888809,64.3228805,95.9738217,11.23097914,16.33596965,76.57485774,0
GSM6765363,29.00016996,64.69268684,136.0777206,35.69251688,32.71814047,68.41065735,17.10266434,12.64109973,55.76955762,31.97454637,248.3604299,45.3592402,1.487188203,5.948752813,20.82063485,26.76938766,124.9238091,89.9748863,8.92312922,29.00016996,73.61581606,46.8464284,37.92329918,89.9748863,1.487188203,37.17970508,23.79501125,1
GSM6765393,80.42240887,62.66681211,100.2668994,63.71125897,176.5115208,212.0227143,687.2460394,8.355574948,115.9336024,105.4891337,444.934366,58.48902463,6.266681211,19.8444905,30.28895918,19.8444905,98.17800563,246.489461,4.177787474,52.22234342,179.6448614,65.80015271,74.15572766,113.8447087,12.53336242,15.66670303,57.44457776,0
GSM6765408,83.42558572,72.9973875,108.4532614,62.56918929,221.0778021,232.5488202,838.4271364,10.42819821,143.9091354,129.3096579,449.455343,56.31227036,5.214099107,21.89921625,23.98485589,23.98485589,85.51122536,271.1331536,6.256918929,46.92689196,204.392685,61.52636946,69.86892804,89.68250464,8.342558572,18.77075679,67.78328839,0
