Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
KEGG_PATHWAY,hsa05171:Coronavirus disease - COVID-19,14,7.368421053,6.66E-07,"C1S, RPS3A, RPS4Y1, TNFRSF1A, RPS4X, RPS26, RPS25, RPS27, PIK3CA, RPS3, RPS2, RPS21, RPS24, RPS23",90,232,8586,5.756896552,1.48E-04,1.48E-04,Coronavirus disease - COVID-19,1.48E-04
KEGG_PATHWAY,hsa03010:Ribosome,11,5.789473684,8.01E-06,"RPS26, RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS4Y1, RPS21, RPS24, RPS23",90,167,8586,6.283832335,0.001777063,8.89E-04,Ribosome,8.89E-04
KEGG_PATHWAY,hsa00562:Inositol phosphate metabolism,6,3.157894737,9.22E-04,"PLCB4, PIK3CA, PIK3C2G, PIK3C3, PLCB2, PIK3C2B",90,73,8586,7.84109589,0.185211796,0.068244203,Inositol phosphate metabolism,0.068244203
KEGG_PATHWAY,hsa04070:Phosphatidylinositol signaling system,6,3.157894737,0.003258633,"PLCB4, PIK3CA, PIK3C2G, PIK3C3, PLCB2, PIK3C2B",90,97,8586,5.901030928,0.515480571,0.180854127,Phosphatidylinositol signaling system,0.180854127
KEGG_PATHWAY,hsa04918:Thyroid hormone synthesis,4,2.105263158,0.042602659,"PLCB4, SLC26A4, TTF1, PLCB2",90,75,8586,5.088,0.999936544,1,,1
KEGG_PATHWAY,hsa05132:Salmonella infection,7,3.684210526,0.04420382,"PIK3CA, RPS3, PLEKHM2, PIK3C2G, PIK3C3, PIK3C2B, TNFRSF1A",90,249,8586,2.681927711,0.999956238,1,,1
KEGG_PATHWAY,hsa05130:Pathogenic Escherichia coli infection,6,3.157894737,0.054393083,"ARHGEF11, MYO1B, CLDN12, RPS3, CLDN16, TNFRSF1A",90,198,8586,2.890909091,0.999995947,1,,1
KEGG_PATHWAY,hsa04610:Complement and coagulation cascades,4,2.105263158,0.059599559,"C1S, PLAU, PLAUR, PLAT",90,86,8586,4.437209302,0.99999881,1,,1
KEGG_PATHWAY,hsa03410:Base excision repair,3,1.578947368,0.075955575,"MBD4, POLE2, POLG",90,44,8586,6.504545455,0.999999976,1,,1
KEGG_PATHWAY,hsa04218:Cellular senescence,5,2.631578947,0.078386202,"PIK3CA, FBXW11, IGFBP3, E2F2, GATA4",90,156,8586,3.057692308,0.999999987,1,,1
KEGG_PATHWAY,hsa05215:Prostate cancer,4,2.105263158,0.079293525,"PIK3CA, PLAU, E2F2, PLAT",90,97,8586,3.934020619,0.999999989,1,,1
KEGG_PATHWAY,hsa05160:Hepatitis C,5,2.631578947,0.081280341,"PIK3CA, CLDN12, E2F2, CLDN16, TNFRSF1A",90,158,8586,3.018987342,0.999999993,1,,1
KEGG_PATHWAY,hsa05163:Human cytomegalovirus infection,6,3.157894737,0.083862617,"ARHGEF11, PLCB4, PIK3CA, E2F2, PLCB2, TNFRSF1A",90,225,8586,2.544,0.999999996,1,,1
KEGG_PATHWAY,hsa04973:Carbohydrate digestion and absorption,3,1.578947368,0.085106662,"PLCB4, PIK3CA, PLCB2",90,47,8586,6.089361702,0.999999997,1,,1
KEGG_PATHWAY,hsa05142:Chagas disease,4,2.105263158,0.089072543,"PLCB4, PIK3CA, PLCB2, TNFRSF1A",90,102,8586,3.741176471,0.999999999,1,,1
