HGNC,Ensembl_ID,GSM5584042,GSM5584043,GSM5584044,GSM5584045,GSM5584046,GSM5584047,GSM5584048,GSM5584049,GSM5584050,GSM5584051,GSM5584052
SLC25A13,ENSG00000004864,4,408,0,8,2063,2211,741,263,451,1110,41
ST7,ENSG00000004866,526,160,29,3073,1226,1310,351,380,610,1786,750
CDC27,ENSG00000004897,1,451,244,627,187,233,691,307,663,1515,83
SLC4A1,ENSG00000004939,1,0,0,0,0,0,0,0,0,34,0
CALCR,ENSG00000004948,51,0,0,0,0,0,0,0,0,0,6
HCCS,ENSG00000004961,1275,1678,895,569,1417,774,1864,540,1395,2121,151
DVL2,ENSG00000004975,12,1,56,405,22,2,34,4,29,54,8
PRSS22,ENSG00000005001,0,0,0,0,0,0,1,0,0,0,0
UPF1,ENSG00000005007,898,40,135,415,1111,4,1312,0,906,2,196
SKAP2,ENSG00000005020,1721,771,1140,1679,825,379,1028,494,1927,521,719
SLC25A5,ENSG00000005022,5969,3674,6618,11893,6499,21745,15454,6590,8082,15806,7201
MCUB,ENSG00000005059,355,1506,722,776,51,822,1316,327,668,3715,432
HOXA11,ENSG00000005073,0,0,0,0,0,0,0,0,0,0,0
POLR2J,ENSG00000005075,238,622,1022,2193,2456,1755,2647,895,2025,1300,322
DHX33,ENSG00000005100,261,301,48,7,1,0,204,0,0,103,162
MEOX1,ENSG00000005102,30,0,0,663,0,1,73,0,0,436,0
THSD7A,ENSG00000005108,0,134,0,184,17,0,0,0,0,294,0
LIG3,ENSG00000005156,2,789,6,1416,5,1631,817,0,974,4,2
RPAP3,ENSG00000005175,2,121,601,693,488,159,461,166,1,250,269
ACSM3,ENSG00000005187,1088,405,1,4,1137,1,90,0,2,1346,0
REXO5,ENSG00000005189,0,0,1,1045,0,1,44,0,522,0,0
CIAPIN1,ENSG00000005194,541,1448,516,2569,1580,3539,2538,1643,335,3536,1979
SPPL2B,ENSG00000005206,293,2,185,1177,7,1,119,1,1406,2612,867
FAM214B,ENSG00000005238,1023,757,27,38,0,0,8,0,0,1373,0
COPZ2,ENSG00000005243,4,0,0,0,0,69,202,0,8,59,0
PRKAR2B,ENSG00000005249,9,162,1,0,0,174,1,142,0,331,0
MSL3,ENSG00000005302,256,35,46,738,1708,1260,644,7,859,1420,505
CREBBP,ENSG00000005339,35,682,21,477,221,6,489,541,962,292,262
TSPOAP1,ENSG00000005379,1,0,1,699,0,0,3,0,0,1,0
MPO,ENSG00000005381,2,5,1,3,0,2,1,2,1,1,1
PON1,ENSG00000005421,0,0,0,0,0,0,0,0,0,0,0
GCFC2,ENSG00000005436,529,324,176,21,1365,0,1104,26,369,816,364
WDR54,ENSG00000005448,2,1,596,206,3,1640,124,694,865,37,1
CROT,ENSG00000005469,732,470,385,1457,1334,832,2128,529,199,1,584
ABCB4,ENSG00000005471,0,0,0,0,0,0,0,0,2,0,0
KMT2E,ENSG00000005483,5489,5600,2869,11634,5280,5930,12566,3604,6232,7537,5471
RHBDD2,ENSG00000005486,970,1331,377,2975,1237,2100,4617,505,1347,5369,1265
SOX8,ENSG00000005513,0,0,0,1,0,0,0,60,0,317,0
IBTK,ENSG00000005700,279,264,85,33,0,51,658,465,38,610,237
ZNF195,ENSG00000005801,1,3,66,111,1,624,358,288,29,26,0
MYCBP2,ENSG00000005810,1155,1254,1026,2981,3534,2579,3316,1550,1484,9953,2223
FBXL3,ENSG00000005812,1,287,132,250,565,665,1043,0,618,163,22
ITGAL,ENSG00000005844,5,11,1,16,3,1,24,1,5,8,0
PDK2,ENSG00000005882,1099,718,624,746,106,379,773,30,601,1676,35
ITGA3,ENSG00000005884,12,25,18,387,425,1355,75,25,317,438,42
ZFX,ENSG00000005889,783,11,17,5,0,1,5,69,657,6,449
LAMP2,ENSG00000005893,3008,2575,2415,7872,7871,6116,7849,4376,1173,6219,4506
ITGA2B,ENSG00000005961,11,5,2,5,4,2,3,1,8,0,1
ASB4,ENSG00000005981,0,0,0,0,1,0,0,0,0,0,0
GDE1,ENSG00000006007,3082,2434,1439,1661,4559,4883,1949,1407,1258,672,2138
REX1BD,ENSG00000006015,2885,1542,816,2294,3909,2664,2372,716,861,3440,360
CRLF1,ENSG00000006016,5,0,0,68,0,43,0,0,0,544,28
OSBPL7,ENSG00000006025,0,0,12,284,0,0,0,0,0,0,0
TMEM98,ENSG00000006042,647,406,238,1922,2,707,78,1261,1700,1319,155
YBX2,ENSG00000006047,0,0,0,0,0,0,0,0,0,0,0
KRT33A,ENSG00000006059,612,0,1,0,0,0,0,0,0,0,0
MAP3K14,ENSG00000006062,202,0,451,1,1,378,0,12,0,0,503
ABCC8,ENSG00000006071,355,0,0,1,2,0,0,0,0,1036,2
CACNG3,ENSG00000006116,0,19,0,0,0,0,0,0,0,0,1
TMEM132A,ENSG00000006118,1,39,0,0,307,0,0,0,0,0,0
AP2B1,ENSG00000006125,77,859,1502,129,95,83,1692,9,0,389,126
TAC1,ENSG00000006128,0,0,0,425,357,0,0,15,0,0,0
ZNF263,ENSG00000006194,312,0,1,12,2138,70,0,0,0,1704,552
CX3CL1,ENSG00000006210,0,1,102,0,1494,161,110,0,0,2,233
SPATA20,ENSG00000006282,818,787,137,1676,1,1,3,80,4034,3,2002
CACNA1G,ENSG00000006283,0,0,0,0,0,0,0,0,0,0,0
TNFRSF12A,ENSG00000006327,1,703,125,361,8,1073,173,114,1,6,284
DLX6,ENSG00000006377,0,0,0,0,0,0,0,0,0,0,0
MAP3K9,ENSG00000006432,71,592,4,2068,3,1,544,22,159,195,330
RALA,ENSG00000006451,206,620,616,2203,1313,3747,1853,760,1052,3320,177
BAIAP2L1,ENSG00000006453,1,44,641,2,1637,117,1242,2,2,1896,1
KDM7A,ENSG00000006459,1,228,60,835,1259,469,733,20,2,2,0
ETV1,ENSG00000006468,1,0,67,53,1,328,157,248,242,549,99
AGK,ENSG00000006530,820,288,67,1175,329,51,69,2080,576,2765,755
ALDH3B1,ENSG00000006534,186,79,141,136,238,1189,947,142,171,398,88
TTC22,ENSG00000006555,442,821,495,2834,3478,859,713,1461,692,2409,688
PHTF2,ENSG00000006576,0,696,158,495,335,1,318,42,781,5,0
CCL26,ENSG00000006606,0,0,0,43,0,0,24,50,0,0,174
FARP2,ENSG00000006607,1810,602,370,1417,90,4,2489,894,53,2482,900
USH1C,ENSG00000006611,3,0,0,0,0,0,0,0,0,0,0
GGCT,ENSG00000006625,1052,1592,1019,4463,1795,3098,4008,1796,881,3375,1263
DBF4,ENSG00000006634,3,1,0,0,0,0,20,0,0,106,93
TBXA2R,ENSG00000006638,0,0,0,3,0,9,0,0,1,0,0
IFRD1,ENSG00000006652,1231,420,89,2352,2,95,1038,459,508,874,1184
LGALS14,ENSG00000006659,0,0,0,0,0,0,0,0,0,0,0
COX10,ENSG00000006695,3,564,546,1221,1135,4,1291,608,2,1665,573
GTF2IRD1,ENSG00000006704,14,2,104,919,443,818,973,220,599,909,230
PAF1,ENSG00000006712,551,3,1248,1836,2,52,251,112,133,565,571
VPS41,ENSG00000006715,712,1674,560,692,1113,1259,3109,2208,1256,2683,933
ARHGAP44,ENSG00000006740,0,0,3,0,0,0,0,0,1,0,1
ELAC2,ENSG00000006744,3418,1166,2315,9767,5056,8947,7501,2607,9977,2741,546
SCIN,ENSG00000006747,806,9,299,5,1,399,81,517,1321,3,596
ARSD,ENSG00000006756,95,1,484,548,3066,2142,54,640,463,20,862
PNPLA4,ENSG00000006757,246,207,899,964,143,1,568,774,3541,2,164
MYH13,ENSG00000006788,0,0,0,0,1,0,68,0,0,0,0
ADIPOR2,ENSG00000006831,0,33,2,115,765,772,1189,0,1,37,1536
CDKL3,ENSG00000006837,0,2,37,0,0,0,74,0,0,0,0
UPP2,ENSG00000007001,0,0,0,0,0,0,0,0,0,0,0
PRSS21,ENSG00000007038,0,1,0,0,1,0,1,0,1,459,0
MARK4,ENSG00000007047,70,1,0,63,4,2,0,84,0,247,0
PROM1,ENSG00000007062,2,0,0,0,0,0,0,0,0,1124,0
CCDC124,ENSG00000007080,1235,983,374,2058,2888,2007,2011,1180,642,1810,1005
CEACAM21,ENSG00000007129,3,3,2,2,1,0,4,376,1354,1,1
PAFAH1B1,ENSG00000007168,50,1040,763,1379,3240,1676,3862,216,1926,2241,1210
NOS2,ENSG00000007171,0,0,0,2,0,1,836,0,0,0,2
DNAH9,ENSG00000007174,144,497,0,0,0,3,0,6,0,1,0
KIAA0100,ENSG00000007202,2,624,9,1332,3998,4,3,0,1138,3474,2
SLC13A2,ENSG00000007216,0,791,775,1,0,0,13,0,0,1911,1
GAS7,ENSG00000007237,360,675,425,2131,1951,1423,2084,650,439,2179,297
TRAPPC6A,ENSG00000007255,2066,376,1973,3694,7157,3450,3916,1498,5938,5745,1884
MATK,ENSG00000007264,1,0,1,0,1,1,0,0,0,0,0
CEACAM7,ENSG00000007306,58,0,195,0,560,696,329,1,0,1,528
CD79B,ENSG00000007312,7,573,2,8,6,0,1,95,0,1377,1
SCN4A,ENSG00000007314,0,0,0,0,0,0,0,0,0,0,0
ST7L,ENSG00000007341,563,285,6,4,2,372,380,23,204,771,0
TKTL1,ENSG00000007350,1,1,1,524,1,780,0,0,0,0,0
PAX6,ENSG00000007372,0,0,0,0,3,0,0,0,0,0,0
RPUSD1,ENSG00000007376,92,185,103,1,31,414,0,303,186,1603,168
RHBDF1,ENSG00000007384,563,775,1,5,3,1298,1668,20,658,1566,2
LUC7L,ENSG00000007392,23,71,512,101,361,1293,514,30,686,1143,489
CACNA2D2,ENSG00000007402,0,0,1,0,0,0,0,0,1,1,0
BAIAP3,ENSG00000007516,0,0,0,0,0,0,622,1,0,7,0
TSR3,ENSG00000007520,152,238,27,191,0,774,0,245,2,198,326
PIGQ,ENSG00000007541,855,323,0,2259,596,26,475,1,33,903,128
CRAMP1,ENSG00000007545,94,2,0,357,866,827,403,1,0,326,345
TEAD3,ENSG00000007866,645,1564,752,2,1166,0,1180,13,1111,879,1325
SELE,ENSG00000007908,2,684,119,530,0,0,0,0,2,27,119
DNAJC11,ENSG00000007923,183,371,811,2253,560,2916,646,797,376,443,829
FMO3,ENSG00000007933,0,0,0,596,0,0,0,0,5,0,0
MYLIP,ENSG00000007944,292,272,0,1630,895,112,873,64,2204,724,18
NOX1,ENSG00000007952,0,0,0,0,0,0,0,0,0,0,0
E2F2,ENSG00000007968,4,0,0,927,301,0,165,1,0,51,0
PSMB1,ENSG00000008018,9793,9288,6443,14651,18274,21380,14931,7235,15966,25696,6711
SYN1,ENSG00000008056,132,0,0,0,0,0,0,0,0,1,0
JARID2,ENSG00000008083,7,450,56,1622,2937,3,264,88,226,563,166
CDKL5,ENSG00000008086,52,60,0,1,61,1,1,0,0,3,385
CAMK1G,ENSG00000008118,104,0,0,0,0,1,1,0,0,1,0
CDK11A,ENSG00000008128,0,0,0,1,36,13,0,32,0,22,0
NADK,ENSG00000008130,244,58,12,444,2,21,8,105,31,0,9
TFAP2B,ENSG00000008196,8,254,313,1,853,0,175,317,0,270,211
TFAP2D,ENSG00000008197,0,0,0,0,0,0,81,0,0,0,0
DLEC1,ENSG00000008226,0,0,0,0,0,0,0,0,0,1,66
CYTH3,ENSG00000008256,132,0,1,180,57,1643,221,99,973,730,0
ADAM22,ENSG00000008277,0,0,0,0,0,0,36,0,85,0,0
SYPL1,ENSG00000008282,2688,2389,1969,5631,3433,3916,4462,1675,725,4720,1800
CYB561,ENSG00000008283,2003,110,1060,1423,544,736,1297,2418,1193,4220,2145
SPAG9,ENSG00000008294,19,520,257,1384,1784,73,809,59,1,4069,461
CELSR3,ENSG00000008300,350,0,0,0,0,0,1,0,0,0,0
AASS,ENSG00000008311,0,0,11,253,0,87,331,0,0,0,96
PLEKHG6,ENSG00000008323,112,221,10,0,0,2,188,0,7,77,0
SS18L2,ENSG00000008324,445,803,169,564,489,2023,1472,265,1101,897,299
MPND,ENSG00000008382,0,76,0,196,0,0,0,176,0,0,0
MGST1,ENSG00000008394,1026,586,4632,184,1227,4201,4804,569,2820,13639,993
CRY1,ENSG00000008405,521,480,22,1769,2533,1,494,1,416,737,50
PGLYRP1,ENSG00000008438,0,2,1,4,1,1,1,1,1,3,0
NFIX,ENSG00000008441,315,1673,387,204,782,1,138,793,1454,1308,571
ST3GAL1,ENSG00000008513,22,803,2586,2564,260,9,948,821,4460,83,6
MMP25,ENSG00000008516,0,1,0,0,0,0,0,0,0,0,0
IL32,ENSG00000008517,137,537,304,409,8,314,911,168,967,814,149
PKD1,ENSG00000008710,19,91,93,768,115,309,123,64,0,214,347
MAPK8IP2,ENSG00000008735,0,0,207,0,0,620,2,0,0,0,0
MED24,ENSG00000008838,4,2717,995,634,696,4,3985,1054,0,718,541
RHOBTB2,ENSG00000008853,2,2,1,0,0,0,0,0,0,0,0
HEATR5B,ENSG00000008869,1052,1884,333,2061,2782,756,2022,912,576,3676,1512
SEC62,ENSG00000008952,1999,2409,1256,3768,3191,4423,4976,2014,3372,5991,1919
RPS20,ENSG00000008988,4670,3962,3449,7386,10156,12503,7127,4650,6012,8822,4243
CSDE1,ENSG00000009307,4559,6047,3941,11100,12282,18395,17781,8664,7303,12581,4602
UBE3C,ENSG00000009335,72,592,824,1004,259,2,1260,582,4,9,508
REV3L,ENSG00000009413,384,155,62,347,549,796,1267,475,387,2504,376
TENM1,ENSG00000009694,0,0,1,0,0,0,99,0,0,95,46
PAX7,ENSG00000009709,0,0,0,84,0,0,15,0,0,0,0
MASP2,ENSG00000009724,0,0,105,0,0,0,0,0,0,0,6
IYD,ENSG00000009765,0,0,0,0,0,0,1,0,0,0,0
FAM76A,ENSG00000009780,1129,103,246,2063,2372,718,1165,332,617,2160,1714
TRAF3IP3,ENSG00000009790,34,292,10,411,9,7,4,6,7,19,95
POMT2,ENSG00000009830,1,0,0,26,1466,1,11,0,2,0,0
VTA1,ENSG00000009844,4321,1444,1879,6262,4780,4736,6366,2492,3339,8668,3593
MLXIPL,ENSG00000009950,1,0,0,0,1050,0,1,172,0,242,0
BAZ1B,ENSG00000009954,898,451,519,874,18,4518,745,427,293,429,16
RANBP9,ENSG00000010017,594,1765,241,580,222,235,95,42,24,586,390
ETV7,ENSG00000010030,2035,607,1447,1531,4295,5870,3566,741,701,388,1021
SPRTN,ENSG00000010072,24,13,491,722,2,821,1042,341,1,1504,0
METTL13,ENSG00000010165,1906,25,3,5,557,1600,1728,238,1902,1821,0
DYRK4,ENSG00000010219,390,0,687,1162,0,1883,5,1,1,625,454
ZNF207,ENSG00000010244,2289,2709,2890,4156,2270,1546,6001,960,1937,3447,2369
UQCRC1,ENSG00000010256,9952,17175,14459,20177,19322,23640,30472,7881,25188,41670,16397
STARD3NL,ENSG00000010270,7,2,306,3,2,1,887,298,991,716,193
CD9,ENSG00000010278,16062,21167,9844,31096,32894,35118,31386,14396,24155,36020,12606
HHATL,ENSG00000010282,2,0,0,0,0,0,1,529,0,1467,504
NCAPD2,ENSG00000010292,0,2,0,964,1,1,217,543,897,2407,0
IFFO1,ENSG00000010295,1,1,2,3,1,644,30,828,0,1,650
GIPR,ENSG00000010310,0,27,0,0,0,0,0,0,0,82,0
PHF7,ENSG00000010318,1,33,266,1693,1,2256,1451,1,0,136,195
SEMA3G,ENSG00000010319,0,87,4,0,0,9,0,0,0,0,0
NISCH,ENSG00000010322,1023,3,1233,2064,1717,1818,3804,464,24,1395,731
STAB1,ENSG00000010327,27,128,2,1064,1,1054,515,0,1248,1,21
FUZ,ENSG00000010361,411,4,9,0,0,0,4,3,0,2,2
SLC6A13,ENSG00000010379,0,0,0,0,0,0,0,0,0,0,0
IDS,ENSG00000010404,297,375,540,2298,2232,409,1155,584,361,2479,1449
PRSS3,ENSG00000010438,3244,2630,1388,2954,3073,3644,3445,1693,1799,4482,1389
ZNF200,ENSG00000010539,2,2,355,1,0,0,710,374,0,1768,2
CD4,ENSG00000010610,778,68,1851,2119,13,14,1101,947,1573,890,13
LRRC23,ENSG00000010626,2,0,281,0,1,911,618,21,1305,0,0
BTK,ENSG00000010671,1,5,0,911,1,1,4,164,1,311,0
HFE,ENSG00000010704,0,0,1,1,0,0,1,73,2,0,0
SCMH1,ENSG00000010803,175,517,0,191,129,1,1,46,0,971,97
FYN,ENSG00000010810,1113,555,40,619,1996,3,232,42,14,1184,374
HIVEP2,ENSG00000010818,510,272,12,1016,1273,1428,629,179,1,3,11
FMO1,ENSG00000010932,865,1057,278,4,5,955,960,1794,1094,5,3
ELOA,ENSG00000011007,280,1400,334,2152,2,3502,3307,372,337,1901,442
LYPLA2,ENSG00000011009,773,1338,1009,1684,516,1670,864,1415,1848,4513,581
CLCN6,ENSG00000011021,0,2,1,7,0,32,145,0,890,1164,151
MRC2,ENSG00000011028,565,230,1,40,122,95,262,136,1089,753,453
NME1-NME2,ENSG00000011052,0,0,0,0,0,0,0,0,0,0,0
SLC6A7,ENSG00000011083,0,0,0,0,0,0,0,0,0,0,0
TSPAN9,ENSG00000011105,0,8,0,361,0,1,40,9,0,42,175
BTBD7,ENSG00000011114,8,496,430,130,405,171,694,313,643,631,587
APBA3,ENSG00000011132,83,354,316,632,1060,516,388,0,0,2,3
MKS1,ENSG00000011143,588,0,303,2670,758,1,1847,0,21,1913,188
ABHD5,ENSG00000011198,1698,1274,334,1669,4725,1592,3483,526,729,7959,685
ANOS1,ENSG00000011201,31,0,0,0,1,0,298,20,0,0,0
AKAP8L,ENSG00000011243,1,46,0,1019,2,1,0,0,0,571,0
MBTD1,ENSG00000011258,16,0,133,0,438,566,63,183,107,554,167
UTP18,ENSG00000011260,1659,835,321,175,141,717,2808,381,694,1053,691
RNF216,ENSG00000011275,168,662,378,489,771,1140,1714,790,3,151,991
TTC19,ENSG00000011295,456,1893,67,1128,353,259,1408,6,2064,2001,415
PTBP1,ENSG00000011304,69,105,171,654,1490,337,1645,1058,53,1590,513
DPF1,ENSG00000011332,0,0,0,0,0,0,27,0,0,0,0
SYT7,ENSG00000011347,1,1,39,0,0,0,37,0,0,0,0
LARS2,ENSG00000011376,0,0,190,712,0,0,0,0,0,0,233
PIK3C2A,ENSG00000011405,166,0,94,335,937,5,315,161,89,1737,67
PLAUR,ENSG00000011422,40,146,296,292,11,9,827,263,8,1711,582
ANLN,ENSG00000011426,4,1,434,730,0,162,925,39,0,837,0
WIZ,ENSG00000011451,67,178,19,343,0,55,138,0,0,259,98
RABGAP1,ENSG00000011454,47,210,0,139,543,205,30,0,0,1984,330
DCN,ENSG00000011465,54999,35070,31076,33816,25030,60723,71852,33188,71977,197691,50262
QPCTL,ENSG00000011478,5,0,0,14,0,0,0,0,0,0,1
PPP5C,ENSG00000011485,10,14,45,856,987,206,47,28,2,862,216
CEP68,ENSG00000011523,132,710,378,577,2128,50,919,296,444,3196,140
MAP4K3,ENSG00000011566,243,278,277,4,1,0,483,119,1,924,122
ZBTB32,ENSG00000011590,0,0,0,0,0,0,0,0,0,0,0
TYROBP,ENSG00000011600,400,828,164,689,1040,2347,1875,959,3100,3238,176
TMEM159,ENSG00000011638,4508,2330,596,1853,1199,1908,4781,1487,1138,1513,1154
GABRA3,ENSG00000011677,0,0,0,0,0,0,0,0,0,0,0
BRCA1,ENSG00000012048,1,0,0,2,0,0,0,0,1081,1317,40
ERCC1,ENSG00000012061,961,301,2630,2737,501,7302,2141,625,2289,3500,753
CD22,ENSG00000012124,0,1,0,0,1,0,0,0,0,0,0
SEMA3B,ENSG00000012171,1,815,2,1014,3,222,1663,0,1938,663,654
MBTPS2,ENSG00000012174,1509,427,842,344,11,510,287,345,1,692,3
PRICKLE3,ENSG00000012211,1,2,0,0,3,0,2,11,0,0,6
LTF,ENSG00000012223,16,13,632,23,16,17,3245,12,12,100,2
EXTL3,ENSG00000012232,344,65,117,235,689,230,1029,0,0,34,730
NR1H4,ENSG00000012504,0,0,0,0,0,0,0,0,259,0,0
ELOVL5,ENSG00000012660,1136,694,3572,610,1755,1951,2553,124,2857,18733,346
ALOX5,ENSG00000012779,25,246,13,1326,34,12,151,7,7,19,6
KDM5D,ENSG00000012817,5,2,3,2,2,0,1603,1,178,1461,952
CALCOCO1,ENSG00000012822,250,2291,45,1320,1282,158,1945,327,320,3530,971
UBR7,ENSG00000012963,974,428,3,867,55,996,567,979,333,1310,1253
MAP4K5,ENSG00000012983,404,189,227,391,458,18,1565,337,196,2911,472
EHD3,ENSG00000013016,3,4,2,11,3,1089,30,1,0,3,36
PSMC4,ENSG00000013275,5126,3157,941,10565,13266,4754,10259,3238,1916,8337,2384
MAN2B2,ENSG00000013288,244,634,1799,1327,653,3572,1904,2192,1298,5819,1141
SLC7A14,ENSG00000013293,0,0,0,0,0,0,0,0,0,0,0
CLDN11,ENSG00000013297,2,382,142,39,222,99,271,177,1066,81,128
SLC25A39,ENSG00000013306,5438,6846,2258,5024,6138,14597,11412,8975,6122,13083,2225
MVP,ENSG00000013364,1954,1832,2965,3003,7796,6472,6674,1918,4754,6721,3809
NUB1,ENSG00000013374,543,834,3,762,285,1153,80,453,1097,4441,111
PGM3,ENSG00000013375,4,0,447,184,0,1294,617,313,1162,2286,0
RWDD2A,ENSG00000013392,0,25,1,635,0,467,34,0,0,0,162
CLK1,ENSG00000013441,472,493,446,50,1823,2044,644,1073,2235,4618,487
POLR3B,ENSG00000013503,741,606,394,585,376,111,403,78,956,3691,95
ANGEL1,ENSG00000013523,5,48,660,739,4,1,656,77,4,1947,167
RNF14,ENSG00000013561,489,67,678,389,1297,786,1570,781,226,332,581
DNASE1L1,ENSG00000013563,27,9,349,0,0,0,39,0,0,0,0
DDX11,ENSG00000013573,6,0,0,1,1,0,2,104,0,15,438
HEBP1,ENSG00000013583,2686,235,426,2566,2781,2,1402,526,758,2065,484
GPRC5A,ENSG00000013588,1559,588,510,67,0,0,10,0,1110,1168,1932
MAMLD1,ENSG00000013619,614,0,0,1,0,5,241,0,0,0,0
CD6,ENSG00000013725,8,504,4,784,2,3,2,2,3,107,1
TACC3,ENSG00000013810,4,197,214,12,1515,92,29,285,3,7,390
UFL1,ENSG00000014123,746,285,763,1044,296,916,2195,36,1051,2352,100
POLA2,ENSG00000014138,0,0,1,1102,1,2,2286,0,3,44,793
ZC3H3,ENSG00000014164,736,0,50,7,101,0,16,80,38,0,75
CAPN1,ENSG00000014216,3591,2691,2795,7886,9017,8498,6799,5946,4984,9681,2953
ACPP,ENSG00000014257,3,78,3,606,1616,869,3509,676,39,1615,1302
MDH1,ENSG00000014641,2468,2964,3783,2153,2284,7063,7489,2356,393,11484,4089
